platform,product_id,product_name,category,price,discount,sales_volume,ratings,reviews,seller_name,trend_score,search_rank,click_through_rate,assured_tag,exchange_offered,amazon_choice_badge,fulfillment_type,fashion_size,outfit_recommendations
Flipkart,FLI_372283,Persevering discrete knowledge user,Fashion,204.38,24%,3288,4.0,1905,Austin-Andrade,78,#86,4.96%,False,True,,,,
Meesho,MEE_984990,Switchable web-enabled Local Area Network,Electronics,232.23,2%,7003,3.6,1133,Collins Ltd,7,#42,8.75%,,,,,,
Amazon,AMA_601143,Virtual radical extranet,Fashion,34.79,26%,8606,1.4,1837,Adams LLC,38,#58,9.66%,,,False,FBM,,
Meesho,MEE_490980,Secured local service-desk,Fitness,44.5,39%,7124,3.6,218,"Evans, Brown and Hanson",13,#48,4.45%,,,,,,
Amazon,AMA_713416,Stand-alone radical array,Fashion,431.76,38%,5364,3.3,729,Rogers-Lane,67,#3,7.08%,,,True,FBA,,
Myntra,MYN_204584,Optional interactive website,Fitness,139.56,43%,1875,2.8,303,Wright Inc,58,#67,5.21%,,,,,M,False
Meesho,MEE_245358,Re-engineered methodical hierarchy,Beauty,446.63,18%,4208,4.8,1941,Crawford-Smith,11,#21,5.27%,,,,,,
Myntra,MYN_500755,Right-sized bottom-line product,Fashion,251.13,37%,8497,4.1,333,"Collins, Garza and Curtis",96,#2,1.4%,,,,,M,True
Myntra,MYN_403991,Horizontal client-server capability,Beauty,291.6,29%,6262,1.8,746,"Owen, Arellano and Campbell",49,#49,9.72%,,,,,XL,True
Amazon,AMA_238807,Digitized well-modulated success,Beauty,406.98,42%,9895,3.0,754,Perez-Jackson,21,#25,5.06%,,,True,FBA,,
Flipkart,FLI_183068,User-centric uniform forecast,Beauty,393.47,23%,1860,3.0,1534,Cook Group,25,#40,3.2%,True,False,,,,
Flipkart,FLI_324428,Total asymmetric leverage,Electronics,458.13,36%,8208,3.0,696,Gutierrez and Sons,29,#8,2.58%,True,True,,,,
Flipkart,FLI_243651,Multi-tiered upward-trending knowledge user,Beauty,321.54,16%,7941,2.0,363,Barnes and Sons,62,#99,6.04%,True,True,,,,
Meesho,MEE_185115,Fundamental fault-tolerant conglomeration,Electronics,339.26,46%,8651,2.3,843,Jones and Sons,39,#49,1.86%,,,,,,
Myntra,MYN_762508,Realigned high-level archive,Fashion,79.7,34%,6086,4.8,808,"Lewis, Thomas and Porter",4,#48,9.45%,,,,,S,False
Flipkart,FLI_476187,Proactive client-driven approach,Beauty,190.86,6%,848,1.9,1060,"Martin, Spence and Hooper",27,#38,6.88%,True,True,,,,
Flipkart,FLI_349289,Synergistic cohesive installation,Electronics,430.85,15%,9392,2.4,853,Stewart LLC,39,#6,9.21%,True,False,,,,
Meesho,MEE_736392,Digitized static structure,Electronics,398.89,48%,5181,4.8,1689,Miller Ltd,84,#83,0.53%,,,,,,
Meesho,MEE_994722,Organized actuating migration,Electronics,10.01,48%,6226,4.3,1016,"Solis, Rasmussen and Parks",63,#64,7.91%,,,,,,
Myntra,MYN_456736,Customer-focused client-driven monitoring,Electronics,155.28,27%,9533,3.3,1039,"Kelly, Smith and Larson",70,#66,0.73%,,,,,S,True
Meesho,MEE_169346,Total regional data-warehouse,Electronics,385.57,42%,5199,3.8,197,Guzman Inc,33,#16,3.94%,,,,,,
Meesho,MEE_797452,Right-sized context-sensitive toolset,Fitness,101.7,41%,4355,2.1,677,"Hawkins, Austin and Carey",70,#34,6.12%,,,,,,
Amazon,AMA_986023,Organized secondary portal,Fashion,354.33,11%,2272,1.6,1722,Jensen-Alvarez,55,#73,3.94%,,,False,FBM,,
Meesho,MEE_888789,Organized solution-oriented knowledge user,Fashion,300.62,44%,8487,2.8,67,Barr-Rollins,86,#81,1.17%,,,,,,
Amazon,AMA_782451,Cross-platform well-modulated definition,Fitness,239.59,28%,5065,2.0,1141,Church Ltd,9,#17,4.03%,,,False,FBM,,
Meesho,MEE_254828,Cross-platform responsive hierarchy,Home,454.12,14%,361,4.4,1131,Stuart-Watkins,92,#2,1.18%,,,,,,
Myntra,MYN_498994,Phased actuating application,Beauty,343.47,8%,1770,4.1,530,Castillo and Sons,98,#34,6.09%,,,,,S,False
Myntra,MYN_126484,Managed context-sensitive contingency,Electronics,330.26,6%,1376,1.2,1307,"Rice, Johns and Walker",71,#72,7.63%,,,,,XL,True
Myntra,MYN_826509,Focused next generation functionalities,Fashion,50.08,7%,3769,1.6,15,Taylor-Calderon,46,#3,8.88%,,,,,L,True
Myntra,MYN_455733,Intuitive modular toolset,Fitness,321.82,30%,7944,2.0,1297,"Soto, Thomas and Phillips",13,#67,1.66%,,,,,XL,False
Myntra,MYN_653570,Front-line national moderator,Fitness,263.37,26%,7370,2.0,1306,"Morris, Taylor and Murray",39,#32,9.18%,,,,,S,False
Amazon,AMA_651486,Face-to-face leadingedge benchmark,Fashion,212.71,24%,8194,2.8,312,Bryant-Barnes,30,#74,2.38%,,,True,FBM,,
Myntra,MYN_338825,Multi-channeled optimal synergy,Beauty,157.42,38%,3396,1.1,1499,Johnson PLC,73,#4,9.49%,,,,,M,True
Flipkart,FLI_925795,Programmable multi-state software,Beauty,32.77,10%,9729,3.4,222,"Brown, Sanchez and Thomas",75,#58,9.71%,False,False,,,,
Amazon,AMA_889252,Compatible directional protocol,Fashion,478.24,21%,5469,4.5,333,Campbell Group,43,#37,3.26%,,,True,FBA,,
Flipkart,FLI_674326,Polarized modular support,Fitness,121.01,8%,2335,2.0,134,"Mann, Long and Rodgers",63,#16,3.14%,True,True,,,,
Flipkart,FLI_963276,Robust discrete leverage,Home,273.12,20%,1182,3.6,563,Munoz-Roberts,62,#64,4.79%,False,False,,,,
Amazon,AMA_587974,Integrated multimedia focus group,Beauty,429.82,33%,2794,4.7,677,"Tyler, Cowan and Nunez",70,#82,3.32%,,,True,FBM,,
Myntra,MYN_730556,Customer-focused even-keeled parallelism,Home,143.55,47%,1401,3.7,305,Barnett Inc,44,#33,2.29%,,,,,S,True
Flipkart,FLI_637198,Virtual foreground software,Fashion,161.58,49%,8204,4.4,1167,Lopez Ltd,64,#48,3.0%,True,False,,,,
Meesho,MEE_729114,Focused zero administration implementation,Home,382.73,46%,3870,4.9,1720,Adams-Ramos,28,#74,6.18%,,,,,,
Flipkart,FLI_298747,Streamlined empowering encryption,Home,367.79,7%,8925,2.6,1027,Morgan-Haney,56,#16,2.48%,False,True,,,,
Myntra,MYN_572185,Multi-layered zero-defect neural-net,Beauty,205.79,41%,1663,3.6,1181,"Lee, Duncan and Stevenson",50,#54,9.71%,,,,,S,True
Amazon,AMA_224376,Exclusive national policy,Beauty,387.96,9%,6941,2.3,603,Gonzalez-Shaw,40,#62,0.21%,,,True,FBA,,
Meesho,MEE_660864,Diverse motivating toolset,Beauty,73.85,24%,444,4.5,1692,Wise Inc,6,#28,6.13%,,,,,,
Meesho,MEE_877954,Re-contextualized directional utilization,Electronics,85.86,33%,1525,2.6,1871,Bishop Inc,67,#32,9.21%,,,,,,
Amazon,AMA_513226,Horizontal responsive migration,Electronics,130.94,13%,7378,2.6,169,Cox Ltd,68,#42,9.85%,,,True,FBA,,
Amazon,AMA_205748,Virtual hybrid parallelism,Electronics,428.87,48%,5775,1.2,635,Carter and Sons,26,#76,1.91%,,,True,FBA,,
Amazon,AMA_589467,Integrated responsive methodology,Fashion,363.07,34%,3502,1.3,416,Morgan Group,62,#99,1.05%,,,True,FBA,,
Meesho,MEE_797059,Proactive neutral Local Area Network,Electronics,400.0,17%,1649,4.4,36,Moore LLC,71,#40,7.75%,,,,,,
Myntra,MYN_791691,Networked holistic capacity,Fashion,160.73,38%,4725,4.5,793,King-Dougherty,100,#49,6.21%,,,,,S,False
Myntra,MYN_526347,Multi-lateral 6thgeneration hub,Electronics,454.27,1%,3555,3.6,1732,Olson and Sons,7,#58,4.8%,,,,,XL,True
Myntra,MYN_366351,Implemented encompassing intranet,Beauty,446.36,8%,2800,1.1,599,"Scott, Ayers and Roberts",31,#13,6.16%,,,,,S,True
Amazon,AMA_569328,Advanced mission-critical capability,Fitness,282.36,18%,9718,2.4,780,Hart-Gutierrez,52,#100,1.97%,,,False,FBA,,
Flipkart,FLI_126707,Cross-group user-facing website,Fashion,385.59,6%,2617,4.8,610,Kirk-King,28,#39,0.31%,False,False,,,,
Flipkart,FLI_719596,Total radical protocol,Fitness,92.3,14%,3364,3.9,257,"Arellano, Oconnell and Hicks",8,#10,1.04%,False,False,,,,
Amazon,AMA_889554,Ergonomic client-driven forecast,Fashion,374.5,24%,6579,4.4,803,"Rich, Levy and Moore",27,#36,2.35%,,,True,FBM,,
Amazon,AMA_425088,User-friendly encompassing encoding,Electronics,72.24,17%,4857,3.5,1134,"Camacho, Wilson and Kelly",3,#91,2.68%,,,True,FBA,,
Myntra,MYN_788662,Stand-alone 4thgeneration extranet,Fashion,131.62,39%,4799,4.7,463,"Cook, Larson and Rogers",63,#78,2.36%,,,,,S,True
Flipkart,FLI_912811,Cloned disintermediate moderator,Electronics,233.15,42%,9351,2.0,1433,Perez and Sons,26,#55,3.42%,True,True,,,,
Myntra,MYN_650211,Multi-lateral multimedia methodology,Beauty,165.28,19%,91,1.6,1384,"Dixon, Bradford and Garza",81,#6,2.0%,,,,,XL,True
Myntra,MYN_228353,Re-engineered zero-defect projection,Fitness,397.55,28%,6212,2.4,57,"Thomas, Woods and Schneider",65,#15,6.74%,,,,,XL,False
Myntra,MYN_145251,Self-enabling bi-directional hub,Electronics,469.87,15%,6642,3.4,1126,"Torres, Holden and Klein",91,#62,2.24%,,,,,L,True
Meesho,MEE_513422,Total real-time methodology,Electronics,159.8,18%,5587,2.3,924,Lloyd-Gonzales,94,#70,4.87%,,,,,,
Amazon,AMA_971204,Automated contextually-based conglomeration,Fitness,389.46,10%,1245,1.8,653,Stone-Dawson,32,#73,5.11%,,,True,FBA,,
Myntra,MYN_851956,Inverse systematic standardization,Beauty,417.69,31%,5514,4.4,637,Sims-Mccoy,92,#66,5.98%,,,,,L,False
Amazon,AMA_749290,Upgradable explicit paradigm,Home,339.17,5%,8334,4.8,625,Taylor Inc,91,#39,4.29%,,,True,FBM,,
Meesho,MEE_766460,Horizontal well-modulated function,Beauty,395.34,34%,8490,3.4,840,"Ortiz, Harris and Gonzales",99,#14,3.82%,,,,,,
Meesho,MEE_656511,Organized clear-thinking Graphic Interface,Fashion,201.49,13%,7624,3.7,1740,Horton-Robbins,89,#20,3.89%,,,,,,
Myntra,MYN_202894,Reduced asynchronous Local Area Network,Beauty,234.48,14%,6102,3.1,549,Martin-Bryant,78,#23,7.65%,,,,,S,False
Meesho,MEE_226672,Vision-oriented didactic process improvement,Beauty,83.54,46%,3114,1.7,1293,Oliver-Moore,30,#37,3.34%,,,,,,
Amazon,AMA_613088,Horizontal didactic hardware,Beauty,218.37,38%,2121,3.1,833,"Smith, Poole and Moore",39,#65,4.6%,,,False,FBM,,
Amazon,AMA_278238,Exclusive 24/7 process improvement,Electronics,394.43,26%,7475,2.7,1032,Jones-Heath,25,#73,8.75%,,,False,FBA,,
Meesho,MEE_843405,Future-proofed attitude-oriented knowledge user,Fashion,48.07,13%,9022,4.6,728,"Lewis, Collins and King",11,#30,8.01%,,,,,,
Amazon,AMA_678728,Seamless actuating alliance,Fitness,69.97,15%,6185,2.1,1074,Mccarthy LLC,37,#78,9.21%,,,False,FBA,,
Meesho,MEE_979361,Upgradable bifurcated orchestration,Home,445.42,44%,9682,2.0,1584,Prince LLC,46,#46,2.46%,,,,,,
Amazon,AMA_768666,Business-focused real-time archive,Fitness,177.81,7%,8986,3.8,480,Gamble-Sanchez,31,#25,5.65%,,,True,FBA,,
Myntra,MYN_779212,Stand-alone real-time orchestration,Home,414.85,19%,8224,4.8,772,Wallace-Johnson,46,#36,0.81%,,,,,L,False
Flipkart,FLI_108557,Customizable systematic interface,Fitness,149.87,25%,6535,1.8,922,"Griffin, Kim and Turner",70,#58,3.32%,False,False,,,,
Myntra,MYN_791580,Sharable user-facing secured line,Electronics,485.82,19%,4529,2.9,1055,Roberts-Anderson,74,#57,6.02%,,,,,M,True
Flipkart,FLI_773172,Monitored global Internet solution,Fitness,31.21,15%,5398,4.7,587,Miller-Roberts,71,#24,2.45%,True,False,,,,
Myntra,MYN_372814,Public-key dedicated encryption,Beauty,424.13,35%,7855,4.6,1773,Atkins Ltd,11,#27,8.21%,,,,,L,True
Myntra,MYN_356488,Synergistic discrete complexity,Beauty,169.18,28%,2918,3.1,99,Powell-Rodriguez,15,#42,5.34%,,,,,XL,False
Flipkart,FLI_615979,Versatile motivating data-warehouse,Electronics,207.31,9%,5486,3.1,704,Walker-Martinez,7,#82,5.7%,True,True,,,,
Flipkart,FLI_918498,Streamlined holistic website,Fitness,461.89,8%,8955,4.4,1665,Thomas Ltd,41,#49,0.33%,False,False,,,,
Flipkart,FLI_924657,Total global access,Fitness,484.51,10%,6928,3.2,655,"Brown, White and Christian",33,#11,3.62%,False,True,,,,
Myntra,MYN_702396,Re-contextualized bifurcated protocol,Fashion,277.01,43%,768,4.2,1319,Rowland-Wright,84,#27,1.31%,,,,,L,False
Flipkart,FLI_974422,Cloned 5thgeneration customer loyalty,Electronics,342.62,23%,6171,1.6,1248,"Ferrell, Young and Hurst",57,#14,6.76%,False,True,,,,
Flipkart,FLI_716391,Polarized logistical analyzer,Beauty,468.6,7%,2258,4.3,11,Greer and Sons,47,#86,3.75%,True,False,,,,
Amazon,AMA_468970,Upgradable hybrid circuit,Fashion,201.77,26%,1136,1.9,323,"Stanley, Rose and Davis",10,#15,6.27%,,,True,FBA,,
Myntra,MYN_123082,Extended multi-tasking Internet solution,Fashion,490.23,7%,5369,1.4,204,Stewart-Foster,79,#51,1.98%,,,,,L,True
Amazon,AMA_187809,Synergistic holistic monitoring,Home,177.25,49%,1078,2.0,1884,"Valdez, Hunter and Bryant",38,#94,5.64%,,,True,FBM,,
Myntra,MYN_769864,Pre-emptive contextually-based hierarchy,Fitness,192.09,18%,8389,4.6,1952,Watson Inc,80,#56,5.5%,,,,,S,True
