platform,content_id,content_type,upload_date,author_username,author_followers,likes,comments,shares,views,engagement_rate,hashtags,sentiment_score,trend_category,video_duration,thumbnail_clicks,subscribers_gained,retweets,quote_tweets,impressions,saves,story_views,is_sponsored,music_used,duets,challenge_tag
YouTube,YO_258381,short_video,2024-08-29 23:06:27,@david55,572284,40268,6959,13012,778220,7.74,"['#Life', '#Fashion']",0.02,Education,52.17,6983.0,975.0,,,,,,,,,
Twitter,TW_223519,reel,2024-12-29 23:42:42,@wdelacruz,1886087,35687,9315,14430,716071,8.3,"['#Fit', '#Gaming']",0.91,Gaming,,,,3214.0,1626.0,180008.0,,,,,,
Instagram,IN_821823,image,2024-04-17 19:58:46,@nicholasmason,1372186,1662,60,18297,932016,2.15,"['#Life', '#Gaming']",0.64,Fitness,,,,,,,277.0,8893.0,False,,,
LinkedIn,LI_115186,short_video,2024-05-03 05:06:56,@carla36,1676714,43486,522,2798,769374,6.08,"['#Life', '#Gaming']",-0.35,Education,,,,,,,,,,,,
YouTube,YO_241021,short_video,2024-07-12 08:49:38,@robinsonmichael,1600993,22078,1160,9718,686726,4.8,"['#Tech', '#Gaming']",-0.92,Fashion,14.36,8762.0,739.0,,,,,,,,,
LinkedIn,LI_761271,reel,2024-12-11 08:41:21,@aaronsandoval,1593444,37096,5443,1691,770951,5.74,"['#Fit', '#Tech']",0.37,Fitness,,,,,,,,,,,,
LinkedIn,LI_784012,image,2024-03-04 07:36:17,@jessicapruitt,458051,41328,7650,11949,722228,8.44,"['#Tech', '#Fashion']",-0.05,Fashion,,,,,,,,,,,,
Instagram,IN_562626,image,2024-04-11 21:59:14,@tlane,1992483,49050,5052,4527,966078,6.07,"['#Life', '#Gaming']",-0.67,Tech,,,,,,,4309.0,17820.0,True,,,
Twitter,TW_285204,video,2024-03-08 11:38:58,@jenkinschristopher,292674,9120,5099,6340,86224,23.84,"['#Life', '#Gaming']",-0.87,Fashion,,,,1362.0,1439.0,74738.0,,,,,,
Instagram,IN_981912,short_video,2024-02-22 15:30:02,@rodriguezwillie,196918,18859,3263,9857,642748,4.98,"['#Gaming', '#Fashion']",-0.29,Fashion,,,,,,,2475.0,2358.0,False,,,
Instagram,IN_681777,image,2024-01-04 21:34:14,@natalie24,1757815,22009,2729,10413,300711,11.69,"['#Fit', '#Tech']",-0.53,Tech,,,,,,,4751.0,1003.0,False,,,
Facebook,FA_506252,image,2024-08-18 15:02:09,@michael16,928140,25674,9990,13803,747575,6.62,"['#Fashion', '#Gaming']",-0.13,Gaming,,,,,,,,,,,,
YouTube,YO_175112,short_video,2024-08-12 15:48:51,@gevans,91763,45119,7627,13581,772566,8.59,"['#Gaming', '#Tech']",0.91,Gaming,27.27,3303.0,224.0,,,,,,,,,
Twitter,TW_852453,image,2024-09-28 03:26:06,@hornkimberly,1589111,43171,5839,12977,259491,23.89,"['#Fit', '#Life']",-0.09,Fashion,,,,2996.0,508.0,136731.0,,,,,,
Facebook,FA_144801,short_video,2024-05-09 18:23:19,@deborah16,1897324,42984,1422,5212,651223,7.62,"['#Tech', '#Fashion']",-0.86,Fitness,,,,,,,,,,,,
Instagram,IN_452793,image,2024-01-05 20:31:31,@kdaugherty,1589380,10788,1003,13368,975160,2.58,"['#Life', '#Fashion']",0.85,Fashion,,,,,,,1092.0,4436.0,False,,,
LinkedIn,LI_824574,short_video,2024-04-03 06:07:32,@dhanson,1936339,14321,4809,7576,186022,14.36,"['#Tech', '#Life']",0.14,Education,,,,,,,,,,,,
LinkedIn,LI_237821,short_video,2024-09-16 14:48:42,@aperry,1727725,764,1364,18234,384992,5.29,"['#Tech', '#Gaming']",0.31,Education,,,,,,,,,,,,
Facebook,FA_877011,video,2024-08-08 21:42:54,@lauradavis,1799340,38513,6251,8558,240818,22.14,"['#Gaming', '#Fashion']",0.01,Education,,,,,,,,,,,,
Facebook,FA_797277,short_video,2024-01-14 10:13:18,@moorecurtis,544057,22912,4315,18140,790106,5.74,"['#Fashion', '#Fit']",-0.93,Gaming,,,,,,,,,,,,
Instagram,IN_137051,video,2024-03-13 03:38:54,@michaelkaiser,80618,13665,8639,14192,180076,20.27,"['#Fashion', '#Tech']",0.07,Education,,,,,,,1651.0,18437.0,True,,,
TikTok,TI_235169,image,2024-03-23 23:41:43,@wnguyen,598554,48900,8380,19673,397629,19.35,"['#Fashion', '#Gaming']",0.66,Gaming,,,,,,,,,,fast,244.0,#find
